,SPX_Log_Returns,NLOP_Log_Returns
1,0.002836094,-0.070364137
2,0.001004411,0.093281014
3,-0.008116691,-0.008630912
4,0.015495759,0.17454251
5,-0.000836188,0.031914184
6,0.01889537,0.004477065
7,0.001595738,0.0088947
8,0.001189719,-0.008256669
9,0.001281228,0.008888859
10,0.007363104,0.051135297
11,-0.002022976,-0.044834004
12,0.004052905,-0.013278757
13,0.000596696,0.008872089
14,-0.001956069,-0.008872089
15,0.000979639,0.013906708
16,-0.000946697,0.050194105
17,0.003776931,-0.024170277
18,0.005856559,0.136432251
19,-0.005423188,0.010615883
20,-0.000569032,0.003162929
21,-0.003913852,0.034655641
22,0.007936611,-0.029930033
23,0.004087134,0.021249868
24,0.003916814,0.007153766
25,0.004588813,0.040414651
26,0.013558345,-0.043474354
27,0.002643565,0.003059702
28,-7.63E-05,-0.080345003
29,0.004518122,-0.055409384
30,0.005849267,0.023461487
31,-0.014793148,-0.057874721
32,0.010248769,0.025471357
33,0.001658682,0.032982906
34,0.004222761,0.048072641
35,0.001429436,0.028308804
36,0.000370106,-0.002687398
37,-0.002830477,-0.005396667
38,-0.005676661,-0.017467693
39,-0.008048618,-0.050829688
40,-0.003434272,-0.002901134
41,0.001824022,0.028074144
42,0.014015946,-0.013079629
43,-0.001478994,-0.009778623
44,0.005649981,0.005763763
45,-0.000671281,0.139262067
46,0.000750694,0.127073039
47,-0.003738319,0.020484526
48,-0.005632731,0.000862484
49,0.008766721,-0.004319704
50,0.012238308,0.060471863
51,0.002191921,-0.013125783
52,0.002917115,-0.015813855
53,0.000811599,0.019934215
54,0.005246578,0.025173923
55,-0.000651998,0.014726555
56,0.007528366,0.003549639
57,-0.00060083,-0.005131253
58,-0.016236852,-0.019581005
59,0.012416286,0.010836871
60,0.010627771,-0.016096887
61,-0.003191425,-0.02630649
62,0.002307746,-0.004173629
63,0.008207683,-0.006714251
64,0.00057042,0.002523088
65,0.005725917,0.045163711
66,-0.000949404,-0.003619549
67,-0.013768609,-0.0044418
68,0.009534168,0.05625869
69,0.005804373,0.021945641
70,-0.004815044,0.012644275
71,-0.006023426,0.00736384
72,0.001263401,-0.022631276
73,0.020902889,-0.018557624
74,0.000347887,0.008374583
75,-0.003793939,-0.005702316
76,0.001704896,-0.007654036
77,-0.001659531,-0.044381954
78,0.00521547,-0.020694632
79,0.007975936,0.000819713
80,-0.001193975,-0.016522474
81,-0.010245406,-0.004173629
82,0.005127933,0.004590035
83,0.010251402,-0.005008358
84,-0.006549923,-0.026713482
85,-0.001122868,0.052324134
86,0.011139513,-0.030223745
87,-0.001926384,0
88,-0.002875221,-0.002946834
89,-0.006504023,-0.030824316
90,0.006298184,-0.006105514
91,0.005633253,0.011741731
92,0.008864765,-0.001297815
93,0.003231309,0.024798192
94,-0.001403172,-0.001267695
95,-0.003059641,-0.015768449
